Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,Vll ab mean,Vll bc mean,Vll ca mean,I a mean,I b mean,I c mean,Vll avg mean,I avg mean
29-01-2023 14:15:00000,0.000000,0.000000,2.924999,7.518653,23005.937500,23087.787,23054.596,0.904414,0.715014,0.907701,23049.457,0.842377
29-01-2023 14:30:00000,0.000000,0.000000,2.926877,7.573472,23010.174,23094.043,23060.537,0.913435,0.710634,0.920153,23054.898,0.848075
29-01-2023 14:45:00000,0.000000,0.000000,2.915334,7.480062,22962.468750,23048.947,23014.031250,0.902713,0.703329,0.912650,23008.447,0.839564
29-01-2023 15:00:00000,0.000000,0.000000,2.908205,7.442286,22935.010,23021.064,22985.537,0.897575,0.704276,0.906931,22980.551,0.836261
29-01-2023 15:15:00000,0.000000,0.000000,2.904329,7.403610,22936.287,23018.754,22985.518,0.888995,0.727888,0.877974,22980.195,0.831619
29-01-2023 15:30:00000,0.000000,0.000000,3.367422,7.816158,22960.215,23043.143,23009.133,0.959113,0.766851,0.957060,23004.164,0.894341
29-01-2023 15:45:00000,0.000000,0.000000,3.718522,8.045218,22951.500000,23036.461,23002.482,0.994670,0.801620,0.996426,22996.822,0.930906
29-01-2023 16:00:00000,0.000000,0.000000,3.405337,7.720322,22939.729,23023.740,22991.301,0.950733,0.757581,0.952751,22984.916,0.887022
29-01-2023 16:15:00000,0.000000,0.000000,2.907084,7.315132,22942.904,23025.176,22994.723,0.885010,0.692262,0.890816,22987.582,0.822695
29-01-2023 16:30:00000,0.000000,0.000000,2.934560,7.405744,22943.426,23025.662,22995.582,0.896709,0.701527,0.901608,22988.223,0.833282
29-01-2023 16:45:00000,0.000000,0.000000,3.047233,7.524580,22935.252,23017.936,22988.158,0.909352,0.724904,0.912587,22980.449,0.848947
29-01-2023 17:00:00000,0.000000,0.000000,3.195659,7.895690,22955.518,23037.623,23003.498,0.969954,0.756409,0.952636,22998.881,0.893000
29-01-2023 17:15:00000,0.000000,0.000000,3.146254,7.832241,22953.318,23031.807,22998.408,0.968768,0.741048,0.945821,22994.498,0.885213
29-01-2023 17:30:00000,0.000000,0.000000,2.976031,7.791580,22977.160,23056.422,23024.350,0.957852,0.728023,0.937864,23019.324,0.874580
29-01-2023 17:45:00000,0.000000,0.000000,2.926019,7.831122,22978.350,23058.551,23028.596,0.958607,0.729720,0.942980,23021.832,0.877103
29-01-2023 18:00:00000,0.000000,0.000000,2.926484,7.761930,22988.887,23069.760,23041.871,0.951086,0.721910,0.935368,23033.498,0.869455
29-01-2023 18:15:00000,0.000000,0.000000,2.926617,7.595301,22989.648,23072.729,23043.973,0.928926,0.704350,0.921124,23035.441,0.851466
29-01-2023 18:30:00000,0.000000,0.000000,2.873216,7.518558,22979.111,23065.150,23036.648,0.919363,0.697516,0.919992,23026.979,0.845623
29-01-2023 18:45:00000,0.000000,0.000000,2.209980,6.932902,22972.207,23057.809,23030.416,0.853925,0.637970,0.865557,23020.158,0.785818
29-01-2023 19:00:00000,0.000000,0.000000,2.006694,6.743658,22971.619,23055.641,23028.055,0.828249,0.612635,0.840333,23018.418,0.760405
29-01-2023 19:15:00000,0.000000,0.000000,1.784662,6.606222,22973.625000,23059.223,23026.084,0.807821,0.593421,0.820723,23019.633,0.740655
29-01-2023 19:30:00000,18.222528,1.666390,7.120164,11.280837,22971.955,23056.104,23024.939,3.328257,3.110664,3.302285,23017.666,3.247067
29-01-2023 19:45:00000,407.685944,19.405739,0.000000,2.204629,22992.709,23073.062500,23044.656250,41.439648,40.899849,40.764221,23036.820,41.034561
29-01-2023 20:00:00000,578.118408,13.916323,0.000000,0.000000,22977.754,23054.293,23023.340,58.605648,58.098663,57.568237,23018.457,58.090874
29-01-2023 20:15:00000,578.139648,31.733570,0.000000,0.000000,22966.424,23040.145,23010.447,58.698997,58.280884,57.619961,23005.660,58.199947
29-01-2023 20:30:00000,578.914307,27.486187,0.000000,0.000000,23000.484,23071.535,23043.584,58.647396,58.272049,57.592926,23038.551,58.170765
29-01-2023 20:45:00000,579.138733,16.401680,0.000000,0.000000,22980.131,23054.230,23025.490,58.688183,58.240257,57.642544,23019.953,58.190323
29-01-2023 21:00:00000,579.176514,17.663183,0.000000,0.000000,22979.811,23054.791,23027.902,58.716572,58.242939,57.619789,23020.846,58.193115
29-01-2023 21:15:00000,579.285522,30.162645,0.000000,0.000000,22966.514,23042.729,23018.996,58.849369,58.367542,57.637367,23009.416,58.284782
29-01-2023 21:30:00000,579.095520,46.602528,0.000000,0.000000,22965.271,23041.932,23019.004,58.956841,58.503666,57.673538,23008.770,58.377968
29-01-2023 21:45:00000,578.971619,48.057766,0.000000,0.000000,22981.078,23058.512,23034.797,58.917465,58.460117,57.635487,23024.793,58.337669
29-01-2023 22:00:00000,578.932190,41.031342,0.000000,0.000000,22987.240,23064.455,23041.709,58.845013,58.378315,57.576309,23031.119,58.266548
29-01-2023 22:15:00000,578.794128,33.455250,0.000000,0.000000,22974.846,23051.963,23030.500000,58.814339,58.330555,57.552822,23019.109,58.232590
29-01-2023 22:30:00000,578.753418,34.640038,0.000000,0.000000,22985.389,23061.262,23039.805,58.776176,58.327087,57.531258,23028.812500,58.211506
29-01-2023 22:45:00000,588.581665,25.619469,0.000000,0.000000,22985.051,23063.064,23038.092,59.713108,59.219913,58.519993,23028.744,59.151024
29-01-2023 23:00:00000,588.692383,14.564957,0.000000,0.000000,22982.168,23058.615,23033.666,59.673130,59.185623,58.539463,23024.826,59.132748
29-01-2023 23:15:00000,588.538940,5.685169,0.000000,0.914861,22983.193,23058.859,23033.475,59.626110,59.131706,58.541931,23025.172,59.099922
29-01-2023 23:30:00000,588.471069,0.325713,0.000000,9.084775,22985.479,23060.051,23032.012,59.582150,59.094078,58.610752,23025.842,59.095673
29-01-2023 23:45:00000,588.426208,0.408628,0.000000,15.744080,22983.947,23059.271,23027.434,59.578491,59.090847,58.693211,23023.549,59.120838
30-01-2023 0:00:00000,588.456848,1.697085,0.000000,17.032730,22986.520,23061.852,23028.941,59.605492,59.117439,58.715260,23025.785,59.146111
